1210000000542772,360 ONE WAM LIMITED,0,1,0.05,INE466L01038,0915-1530|1815-1915:,2026-03-13,Unnamed: 8,BSE:360ONE-A,12,10,542772,360ONE,542772.1,-1.0,XX,1210000000542772.1,None,0.1,0.0
1210000000523395,3M INDIA LTD.,0,1,0.05,INE470A01017,0915-1530|1815-1915:,2026-03-13,,BSE:3MINDIA-A,12,10,523395,3MINDIA,523395,-1.0,XX,1210000000523395,,0,0.0
1210000000526881,63 Moons Technologies Limited,0,1,0.05,INE111B01023,0915-1530|1815-1915:,2026-03-13,,BSE:63MOONS-A,12,10,526881,63MOONS,526881,-1.0,XX,1210000000526881,,0,0.0
1210000000544176,Aadhar Housing Finance Limited,0,1,0.05,INE883F01010,0915-1530|1815-1915:,2026-03-13,,BSE:AADHARHFC-A,12,10,544176,AADHARHFC,544176,-1.0,XX,1210000000544176,,0,0.0
1210000000524208,AARTI INDUSTRIES LTD.,0,1,0.05,INE769A01020,0915-1530|1815-1915:,2026-03-13,,BSE:AARTIIND-A,12,10,524208,AARTIIND,524208,-1.0,XX,1210000000524208,,0,0.0
1210000000543748,Aarti Pharmalabs Limited,0,1,0.05,INE0LRU01027,0915-1530|1815-1915:,2026-03-13,,BSE:AARTIPHARM-A,12,10,543748,AARTIPHARM,543748,-1.0,XX,1210000000543748,,0,0.0
1210000000541988,AAVAS Financiers Limited,0,1,0.05,INE216P01012,0915-1530|1815-1915:,2026-03-13,,BSE:AAVAS-A,12,10,541988,AAVAS,541988,-1.0,XX,1210000000541988,,0,0.0
1210000000500002,ABB INDIA LIMITED,0,1,0.05,INE117A01022,0915-1530|1815-1915:,2026-03-13,,BSE:ABB-A,12,10,500002,ABB,500002,-1.0,XX,1210000000500002,,0,0.0
1210000000500488,ABBOTT INDIA LTD.,0,1,0.05,INE358A01014,0915-1530|1815-1915:,2026-03-13,,BSE:ABBOTINDIA-A,12,10,500488,ABBOTINDIA,500488,-1.0,XX,1210000000500488,,0,0.0
1210000000540691,Aditya Birla Capital Ltd,0,1,0.05,INE674K01013,0915-1530|1815-1915:,2026-03-13,,BSE:ABCAPITAL-A,12,10,540691,ABCAPITAL,540691,-1.0,XX,1210000000540691,,0,0.0
1210000000544203,Allied Blenders and Distillers,0,1,0.05,INE552Z01027,0915-1530|1815-1915:,2026-03-13,,BSE:ABDL-A,12,10,544203,ABDL,544203,-1.0,XX,1210000000544203,,0,0.0
1210000000535755,Aditya Birla Fashion and Retai,0,1,0.01,INE647O01011,0915-1530|1815-1915:,2026-03-13,,BSE:ABFRL-A,12,10,535755,ABFRL,535755,-1.0,XX,1210000000535755,,0,0.0
